timestamp,resource_type,batch_size,query_cost,remaining,reset_at,status,retries,cache_hit
2026-08-03T03:58:06Z,graphql_repositories,25,1,4773,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T03:58:14Z,graphql_repositories,25,1,4772,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T03:58:19Z,graphql_repositories,25,1,4771,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T03:58:24Z,graphql_repositories,25,1,4770,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T03:58:32Z,graphql_repositories,25,1,4769,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T03:58:40Z,graphql_repositories,25,1,4768,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T03:58:45Z,graphql_repositories,25,1,4767,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T03:58:51Z,graphql_repositories,25,1,4766,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T03:58:55Z,graphql_repositories,25,1,4765,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T03:59:02Z,graphql_repositories,25,1,4764,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T03:59:09Z,graphql_repositories,25,1,4763,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T03:59:13Z,graphql_repositories,25,1,4762,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T03:59:20Z,graphql_repositories,25,1,4761,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T03:59:51Z,graphql_repositories,25,1,4738,2026-08-03T04:43:24+00:00,success,2,false
2026-08-03T03:59:57Z,graphql_repositories,25,1,4735,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:00:03Z,graphql_repositories,25,1,4734,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:00:08Z,graphql_repositories,25,1,4733,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:00:12Z,graphql_repositories,25,1,4732,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:00:18Z,graphql_repositories,25,1,4731,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:00:22Z,graphql_repositories,25,1,4730,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:00:28Z,graphql_repositories,25,1,4729,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:00:33Z,graphql_repositories,25,1,4728,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:00:38Z,graphql_repositories,25,1,4727,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:00:44Z,graphql_repositories,25,1,4726,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:00:51Z,graphql_repositories,25,1,4725,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:00:54Z,graphql_repositories,25,1,4724,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:01:01Z,graphql_repositories,25,1,4723,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:01:05Z,graphql_repositories,25,1,4722,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:01:13Z,graphql_repositories,25,1,4721,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:01:20Z,graphql_repositories,25,1,4720,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:01:25Z,graphql_repositories,25,1,4719,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:01:31Z,graphql_repositories,25,1,4718,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:01:36Z,graphql_repositories,25,1,4717,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:01:41Z,graphql_repositories,25,1,4716,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:01:47Z,graphql_repositories,25,1,4715,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:01:55Z,graphql_repositories,25,1,4714,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:01:59Z,graphql_repositories,25,1,4713,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:02:06Z,graphql_repositories,25,1,4712,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:02:12Z,graphql_repositories,25,1,4709,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:02:21Z,graphql_repositories,25,1,4708,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:02:29Z,graphql_repositories,25,1,4707,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:02:34Z,graphql_repositories,25,1,4706,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:02:43Z,graphql_repositories,25,1,4705,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:02:51Z,graphql_repositories,25,1,4704,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:02:57Z,graphql_repositories,25,1,4703,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:03:02Z,graphql_repositories,25,1,4702,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:03:10Z,graphql_repositories,25,1,4701,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:03:15Z,graphql_repositories,25,1,4700,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:03:23Z,graphql_repositories,25,1,4699,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:03:27Z,graphql_repositories,25,1,4698,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:03:33Z,graphql_repositories,25,1,4697,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:03:38Z,graphql_repositories,25,1,4696,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:03:44Z,graphql_repositories,25,1,4695,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:03:50Z,graphql_repositories,25,1,4694,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:03:55Z,graphql_repositories,25,1,4693,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:04:00Z,graphql_repositories,25,1,4692,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:04:06Z,graphql_repositories,25,1,4691,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:04:14Z,graphql_repositories,25,1,4690,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:04:21Z,graphql_repositories,25,1,4689,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:04:28Z,graphql_repositories,25,1,4688,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:04:33Z,graphql_repositories,25,1,4687,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:04:38Z,graphql_repositories,25,1,4686,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:04:44Z,graphql_repositories,25,1,4685,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:04:50Z,graphql_repositories,25,1,4684,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:04:57Z,graphql_repositories,25,1,4683,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:05:03Z,graphql_repositories,25,1,4682,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:05:07Z,graphql_repositories,25,1,4681,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:05:14Z,graphql_repositories,25,1,4680,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:05:20Z,graphql_repositories,25,1,4679,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:05:26Z,graphql_repositories,25,1,4678,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:05:31Z,graphql_repositories,25,1,4677,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:05:38Z,graphql_repositories,25,1,4676,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:05:44Z,graphql_repositories,25,1,4675,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:05:53Z,graphql_repositories,25,1,4674,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:05:59Z,graphql_repositories,25,1,4673,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:06:06Z,graphql_repositories,25,1,4672,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:06:12Z,graphql_repositories,25,1,4671,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:06:19Z,graphql_repositories,25,1,4670,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:06:25Z,graphql_repositories,25,1,4669,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:06:32Z,graphql_repositories,25,1,4668,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:06:38Z,graphql_repositories,25,1,4667,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:06:44Z,graphql_repositories,25,1,4666,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:06:50Z,graphql_repositories,25,1,4665,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:06:58Z,graphql_repositories,25,1,4664,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:07:02Z,graphql_repositories,25,1,4663,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:07:09Z,graphql_repositories,25,1,4662,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:07:15Z,graphql_repositories,25,1,4661,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:07:20Z,graphql_repositories,25,1,4659,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:07:25Z,graphql_repositories,25,1,4658,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:07:31Z,graphql_repositories,25,1,4656,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:07:53Z,graphql_repositories,25,1,4644,2026-08-03T04:43:24+00:00,success,1,false
2026-08-03T04:07:58Z,graphql_repositories,25,1,4643,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:08:03Z,graphql_repositories,25,1,4642,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:08:08Z,graphql_repositories,25,1,4641,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:08:14Z,graphql_repositories,25,1,4640,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:08:20Z,graphql_repositories,25,1,4639,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:08:25Z,graphql_repositories,25,1,4638,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:08:32Z,graphql_repositories,25,1,4637,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:08:37Z,graphql_repositories,25,1,4636,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:08:42Z,graphql_repositories,25,1,4635,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:08:47Z,graphql_repositories,25,1,4634,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:08:53Z,graphql_repositories,25,1,4633,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:08:59Z,graphql_repositories,25,1,4632,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:09:05Z,graphql_repositories,25,1,4631,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:09:11Z,graphql_repositories,25,1,4630,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:09:16Z,graphql_repositories,25,1,4629,2026-08-03T04:43:24+00:00,success,0,false
