repo_name,owner_login,unique_human_contributors,active_days,active_months,push_events,pull_requests_opened,pull_requests_closed,merged_pull_requests,reviews_submitted,issues_opened,issue_comments,releases,weighted_activity_score,automation_event_share,single_actor_event_share,first_seen,last_seen
Altinn/altinn-profile,Altinn,7,41,3,85,1,1,1,3,2,0,0,192.0,0.16363636363636364,0.6195652173913043,2026-05-04,2026-07-30
mulesoft/docs-hosting,mulesoft,7,22,3,42,1,0,0,2,0,0,0,95.0,0.0,0.5555555555555556,2026-05-04,2026-07-31
semrush/intergalactic,semrush,5,60,3,307,1,1,1,2,0,1,0,631.0,0.003194888178913738,0.40384615384615385,2026-05-04,2026-07-31
microsoft/azure-pipelines-extensions,microsoft,13,43,3,103,5,0,0,5,0,3,0,244.0,0.1076923076923077,0.27586206896551724,2026-05-03,2026-07-31
eclipse-score/inc_security_crypto,eclipse-score,6,17,3,16,1,0,0,6,1,0,0,60.0,0.7575757575757576,0.75,2026-05-03,2026-07-31
2026-1-capstone-design/main-game,2026-1-capstone-design,5,25,2,75,1,2,2,7,0,2,0,193.0,0.02247191011235955,0.40229885057471265,2026-05-01,2026-06-11
dotnet/performance,dotnet,7,18,3,26,1,0,0,6,0,1,0,80.0,0.7988165680473372,0.29411764705882354,2026-05-07,2026-07-16
FiligranHQ/xtm-hub,FiligranHQ,9,62,3,440,5,2,2,7,2,4,0,939.0,0.4010416666666667,0.2608695652173913,2026-05-04,2026-07-31
murayu427/Online_Survey,murayu427,5,26,3,60,3,3,3,1,0,0,0,148.0,0.0,0.417910447761194,2026-05-28,2026-07-17
melanytorrez/EcoLand,melanytorrez,10,13,2,27,4,2,2,11,2,0,0,122.0,0.041666666666666664,0.43478260869565216,2026-05-04,2026-06-18
betaflight/betaflight-configurator,betaflight,11,56,3,73,9,7,7,33,0,29,0,369.0,0.5396341463414634,0.4900662251655629,2026-05-01,2026-07-25
openconfig/public,openconfig,10,19,3,11,1,0,0,4,1,7,0,49.0,0.04,0.4166666666666667,2026-05-01,2026-07-14
iis-marconi-pieralisi/scout-admin-ws,iis-marconi-pieralisi,18,20,2,50,4,3,2,0,1,0,0,123.0,0.0,0.1724137931034483,2026-05-04,2026-06-05
Forge-Station/nuclear-14,Forge-Station,7,35,3,45,4,0,0,0,0,0,0,102.0,0.0,0.3877551020408163,2026-05-02,2026-07-31
openperu2026/dev-opencongress,openperu2026,6,26,3,83,5,4,4,13,2,1,0,256.0,0.05263157894736842,0.5277777777777778,2026-05-01,2026-07-29
henpemaz/Rain-Meadow,henpemaz,7,34,3,66,6,5,4,4,0,0,0,186.0,0.0,0.7654320987654321,2026-05-02,2026-07-30
juomu02/TECHIN_sudormrf,juomu02,6,13,2,42,2,1,1,1,0,0,0,99.0,0.0,0.2608695652173913,2026-05-14,2026-06-11
hyperledger-cello/cello,hyperledger-cello,7,11,3,11,2,0,0,1,1,5,0,38.0,0.23076923076923078,0.4,2026-05-05,2026-07-18
kubernetes-sigs/kernel-module-management,kubernetes-sigs,6,13,3,3,2,1,0,4,0,10,0,38.0,0.3103448275862069,0.45,2026-05-04,2026-07-01
daytonaio/content,daytonaio,20,14,2,0,8,3,0,0,0,14,0,38.0,0.038461538461538464,0.12,2026-05-10,2026-06-02
